Segmento,Quantidade_Jul_2023
Comércio varejista de artigos do vestuário e acessórios,41532
Cabeleireiros manicure e pedicure,31039
Promoção de vendas,27196
Obras de alvenaria,20490
Comércio varejista de mercadorias em geral com predominância de produtos alimentícios – minimercados mercearias e armazéns,18876
Lanchonetes casas de chá de sucos e similares,17397
Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente,4927
Lanchonetes casas de chá de sucos e similares,4857
Comércio varejista de bebidas,14269
Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente,13860
Transporte rodoviário de carga exceto produtos perigosos e mudanças intermunicipal interestadual e internacional,11764
Atividades de estética e outros serviços de cuidados com a beleza,11647
Transporte rodoviário de carga exceto produtos perigosos e mudanças municipal,10863
Comércio a varejo de peças e acessórios novos para veículos automotores,10094
Instalação e manutenção elétrica,10062
Outras Atividades Econômicas,548144