Atividades_de_serviços,Número_de_empresas,Pessoal_ocupado_31_12,Receita_bruta_de_serviços_Mil_Reais,Salários_retiradas_e_outras_remunerações_Mil_Reais
Total,52986,386039,49323111,9485095
1. Serviços prestados às famílias,11909,70291,6390330,1386111
1.1 Serviços de alojamento e alimentação,7713,51200,4994762,967809
1.2 Atividades culturais recreativas e esportivas,1242,6112,509367,121350
1.3 Serviços pessoais,1450,6370,505694,174914
1.4 Atividades de ensino continuado,1504,6609,380507,122038
2. Serviços de informação e comunicação,3195,27337,7528905,1069126
3. Serviços profissionais administrativos e complementares,21778,174859,13149843,3925770
4. Transportes serviços auxiliares aos transportes e correio,6608,64163,15731549,1900601
4.1 Transporte rodoviário,5616,49607,12843685,1404498
4.2 Outros transportes,22,1089,1353751,70160
4.3 Armazenamento e serviços auxiliares aos transportes,794,8973,998755,232476
4.4 Correio e outras atividades de entrega,176,4494,535358,193467
5. Atividades imobiliárias,2870,7266,2284216,119228
6. Serviços de manutenção e reparação,3939,16804,806567,332101
7. Outras atividades de serviços,2687,25319,3431701,752158