Especificação,Unidades_locais_2019,Unidades_locais_2020,Unidades_locais_2021,Pessoal_ocupado_2019,Pessoal_ocupado_2020,Pessoal_ocupado_2021
Brasil,5790027,5989353,6321759,53220285,52696808,55296012
Centro-Oeste,472065,499452,535916,4620326,4612882,4849585
Goiás,191381,200669,216282,1645167,1627708,1737735
Goiânia,69195,72042,77555,661028,633958,670431
Aparecida de Goiânia,10375,11135,12170,120399,122773,126297
Anápolis,10758,11588,12690,105391,108892,114820
Rio Verde,6368,7124,7799,60581,62474,67184
Caldas Novas,3696,3873,4059,30870,30829,27680
Catalão,3753,3913,4244,28748,28755,32833
Itumbiara,3702,3755,4137,27922,25259,32412
Luziânia,3549,3713,3976,24672,25028,27350
Jataí,2963,3185,3533,22827,23643,25794
Valparaíso de Goiás,2769,2881,3046,18151,18375,21091