Destilarias,Município
AGUAPEÍ AGROENERGIA S. A.,São Simão
ATVOS – UNIDADE MORRO VERMELHO,Mineiros
ATVOS – UNIDADE PEROLÂNDIA,Perolândia
ATVOS – UNIDADE RIO CLARO,Caçu
BOM SUCESSO AGROINDÚSTRIA S. A.,Goiatuba
BP BIOENERGIA ITUMBIARA S. A.,Itumbiara
BP BIOENERGIA TROPICAL S. A.,Edéia
CAÇU COMÉRCIO E IND. DE AÇÚCAR E ÁLCOOL LTDA,Vicentinópolis
CAMBUÍ AÇÚCAR E ÁLCOOL LTDA,Santa Helena de Goiás
CBB – COMPANHIA BIOENERGÉTICA BRASILEIRA LTDA,Vila Boa
CEM – CENTRAL ENERGÉTICA MORRINHOS S. A.,Morrinhos
CENTROÁLCOOL S. A.,Inhumas
CERRADINHO BIOENERGIA S. A.,Chapadão do Céu
COOPERATIVA AGROINDUSTRIAL DE RUBIATABA LTDA,Rubiataba
CRV INDUSTRIAL LTDA,Carmo do Rio Verde
DENUSA DESTILARIA NOVA UNIÃO S. A.,Jandaia
EBER BIO-ENERGIA E AGRICULTURA LTDA,Montes Claros de Goiás
ENERGÉTICA SERRANÓPOLIS LTDA,Serranópolis
GOIÁS BIOENERGIA S. A.,Porteirão
GOIASA GOIATUBA ÁLCOOL LTDA,Goiatuba
JALLES MACHADO S. A.,Goianésia
JALLES MACHADO S.A. – UNIDADE OTÁVIO LAGE,Goianésia
LASA LAGO AZUL S. A.,Ipameri
NARDINI AGROINDUSTRIAL LTDA,Aporé
RAIZEN CENTROESTE AÇÚCAR E ALCOOL LTDA,Jataí
SÃO MARTINHO S. A.,Quirinópolis
SJC BIOENERGIA S.A. – UNIDADE RIO DOURADO,Cachoeira Dourada
SJC BIOENERGIA S.A. – UNIDADE SÃO FRANCISCO,Quirinópolis
URUAÇU AÇÚCAR E ÁLCOOL LTDA,Uruaçu
USINA GOIANÉSIA S. A.,Goianésia
USINA NOVA GÁLIA LTDA,Paraúna
USINA RIO VERDE LTDA – DECAL,Rio Verde
USINA SANTA HELENA DE AÇÚCAR E ÁLCOOL S. A.,Santa Helena de Goiás