Produtos,2020,2021,2022
IMPORTAÇÃO,4256105748,6653487128,7547679620
Adubos (fertilizantes) minerais ou químicos,174059009,463038996,693245750
Adubos (fertilizantes) minerais ou químicos azotados,218346874,308631571,423392350
Adubos (fertilizantes) minerais ou químicos fosfatados,2479433,46353218,96817984
Adubos (fertilizantes) minerais ou químicos potássicos,236094194,390862787,785860237
Aparelhos mecânicos para projetar dispersar ou pulverizar líquidos ou pós,21741232,35305700,44150011
Artigos e aparelhos ortopédicos,21442444,39310749,44074427
Automóveis de passageiros e outros veículos,117002933,70955135,144049392
Compostos heterocíclicos,71240410,74913899,96832598
Demais produtos,988772831,1155655876,1398440267
Díodos transístores e dispositivos semelhantes,7972533,22554076,59052081
Energia elétrica,43431724,1262037850,169026177
Hormonas prostaglandinas tromboxanos e leucotrienos,39977537,34027596,45051785
Hulhas briquetes bolas e combustíveis sólidos,24956214,27682464,49344853
Inseticidas rodenticidas fungicidas herbicidas,11018850,27992540,74353731
Instrumentos e aparelhos para medicina cirurgia odontologia e veterinária,38692759,55462839,67822879
Instrumentos e aparelhos para regulação ou controlo,17901279,33785244,46032942
Máquinas e aparelhos para colheita ou debulha,40544485,23693831,75984904
Medicamentos,341966309,378232619,395136137
Motores de pistão,24459952,56271118,63327453
Partes e acessórios dos veículos automóveis,176460532,335533555,352143681
Sangue humano e animal para usos terapêuticos,700725010,710161339,818839872