UF,Valor_2022,Ranking
BR,272610655068,-
SP,81540627462,1º
SC,28989937154,2º
RJ,25352731146,3º
PR,22404045099,4º
MG,17565174806,5º
RS,15978686868,6º
AM,14177436313,7º
BA,11356565432,8º
ES,9489289424,9º
PE,7859448749,10º
MA,7508605477,11º
GO,5981330933,12º
MG,5790180591,13º
CE,4908629508,14º
MS,3308296233,15º
PA,2739424145,16º
DF,2384970149,17º
PB,1031450310,18º
TO,881255367,19º
AL,792699823,20º
AP,772072531,21º
RO,719313545,22º
RN,435441700,23º
SE,350001668,24º
PI,247973532,25º
RR,39819634,26º
AC,5247469,27º