Municípios,Valor_US$_FOB,Principais_Produtos
Rio Verde,4446780394,"Soja e seus derivados, Milho, Reservatórios barris tambores latas caixas e recipientes semelhantes"
Jataí,1464738316,"Soja e seus derivados, Milho, Tortas e outros resíduos sólidos da extração do óleo de soja"
Luziânia,607412807,"Soja milho e óleo de soja"
Barro Alto,600459890,"Ferroligas, Minérios de Alumínio, Minérios de níquel"
Palmeiras de Goiás,582992731,"Carnes de animais da espécie bovina frescas ou congeladas, Couros e peles curtidos ou em crosta de bovinos"
Anápolis,566004326,"Soja mesmo triturada, Tortas e outros resíduos sólidos da extração do óleo de soja, Outros veículos aéreos"
Itumbiara,508993816,"Soja, Couros e peles curtidos ou em crosta de bovinos, Algodão não cardado nem penteado"
Alto Horizonte,457937634,"Minérios de cobre e seus concentrados, Calhaus cascalho pedras britadas"
Cristalina,351677058,"Soja mesmo triturada, Algodão não cardado nem penteado, Milho"
Ouvidor,337444327,"Ferroligas, Minérios de ferro e seus concentrados"