Função,Total,Tesouro,Outras,Corrente,Capital,Reserva_de_Contingência
Total,20798874,20175127,623747,18609118,1337588,852168
Administração,1954519,1954452,67,1790466,164053,0
Agricultura,52952,45893,7059,40583,12369,0
Assistência Social,280490,280490,0,267686,12804,0
Ciência e Tecnologia,109503,109503,0,32796,76707,0
Comércio e Serviços,3020,3020,0,3020,0,0
Cultura,33923,29935,3988,33923,0,0
Desporto e Lazer,94614,82990,11624,82040,12574,0
Direito da Cidadania,638497,636698,1799,587917,50580,0
Educação,5669855,5653543,16312,5274198,395657,0
Encargos Especiais,1843018,1843018,0,1594414,248604,0
Essencial a Justiça,1060028,1059928,100,968978,91050,0
Gestão Ambiental,1137,60,1077,1127,10,0
Habitação,291,241,50,20,271,0
Indústria,20,20,0,10,10,0
Judiciária,1906767,1906767,0,1906767,0,0
Legislativa,1314271,1295495,18776,1198809,115462,0
Previdência Social,986178,439222,546956,986178,0,0
Reserva de Contingência,852168,852168,0,0,0,852168
Saneamento,120,40,80,120,0,0
Saúde,3799,3320,479,3799,0,0
Segurança Pública,3608315,3593535,14780,3557623,50692,0
Trabalho,143585,142985,600,143315,270,0
Urbanismo,241804,241804,0,135329,106475,0