Especificação,2020,2021,2022,2023
RECEITAS CORRENTES,35528441,32872109,33978409,38003587
RECEITA TRIBUTÁRIA,30068968,27350731,28642571,30452943
IMPOSTOS,29484466,26525568,27462668,29188551
IMPOSTO S/ A RENDA E PROVENTOS QUALQ. NAT,1812600,1851173,1770828,2281541
IMPOSTO S/ A PROPRIEDADE DE VEÍC. AUTOMOT-IPVA,1638061,1826556,1947723,2040473
IMPOSTO - ITCD,936642,708822,600872,757652
IMPOSTO S/ A PRODUÇÃO E A CIRCULAÇÃO-ICMS,25097162,22139016,23143245,24108885
TAXAS,584501,825162,1179903,1264392
CONTRIBUIÇÕES DE MELHORIA,0,0,0,0
RECEITA PATRIMONIAL,172735,304784,161376,681825
RECEITA AGROPECUÁRIA,0,0,0,0
RECEITA DE SERVIÇOS,24455,35434,63719,38272
TRANSFERÊNCIAS CORRENTES,4506374,4298590,4520541,5791329
OUTRAS RECEITAS CORRENTES,755907,882568,590202,1039218
RECEITAS DE CAPITAL,34546.87,13005,2546003,58904
OPERAÇÕES DE CRÉDITO,30000,0,2541083,30
ALIENAÇÃO DE BENS,364.23,1879,0,45568
OUTRAS RECEITAS DE CAPITAL,4182,11126,4920,13306
DEDUÇÕES DA RECEITA,-17277270,-11292954,-11707573,-12656971
TOTAL DA RECEITA DO TESOURO,18285718,21592161,24816839,25405520
TOTAL DA ADM. DIRETA OUTROS PODERES E MP,2563639,3432675,3595553,3631327
TOTAL DA RECEITA DAS AUTARQUIAS/FUNDAÇÕES,2797111,2949488,2752671,3317831
TOTAL DA RECEITA DOS FUNDOS ESPECIAIS,5817431,6777685,6554656,7136239
TOTAL DA RECEITA DAS EMPRESAS (ESTIMADA),0,94210,108281,106249
TOTAL GERAL DA RECEITA,29463900,34846222,37828000,39597166